month_year,,County,new_store_name,store_market_share,brand_market_share
2012-01,,Adair,Fareway,0.214995648,0.03678199
2012-01,,Adair,Hometown,0.303518108,0.049488707
2012-01,,Adair,KUM,0.2245366,0.065359988
2012-01,,Adair,Nodaway,0.197269928,0.031841891
2012-01,,Adair,R,0.059679715,0.006123256
2012-01,,Adams,West,1,0.206635247
2012-01,,Allamakee,Double,0.28554124,0.046499878
2012-01,,Allamakee,Fareway,0.074262145,0.007510191
2012-01,,Allamakee,Hartig,0.011040387,0.000498336
2012-01,,Allamakee,Lansing,0.177085737,0.039017721
2012-01,,Allamakee,Quillins,0.369875343,0.069153466
2012-01,,Allamakee,Spice-n-ice,0.082195148,0.007465839
2012-01,,Appanoose,Elliott's,0.073166683,0.017182608
2012-01,,Appanoose,Fareway,0.073079195,0.021535987
2012-01,,Appanoose,Hy-Vee,0.350965271,0.041050507
2012-01,,Appanoose,J,0.219694268,0.030168085
2012-01,,Appanoose,Quick,0.106137731,0.00347516
2012-01,,Appanoose,Wal-Mart,0.176956853,0.027658119
2012-01,,Audubon,Audubon,0.873333145,0.154404593
2012-01,,Audubon,Casey's,0.126666855,0.032821247
2012-01,,Benton,Belle,0.018940039,0.004178917
2012-01,,Benton,Casey's,0.061771613,0.024005919
2012-01,,Benton,Fareway,0.436466315,0.079983556
2012-01,,Benton,Grieder,0.275352433,0.047568967
2012-01,,Benton,Karam,0.108800435,0.017880279
2012-01,,Benton,Roy's,0.098669165,0.026358362
2012-01,,Black Hawk,Ali's,0.010599587,0.000728205
2012-01,,Black Hawk,B,0.006166298,0.001181929
2012-01,,Black Hawk,Barmuda,0.036251671,0.007881028
2012-01,,Black Hawk,Broadway,0.010619281,0.001805043
2012-01,,Black Hawk,CVS,0.026833342,0.005632774
2012-01,,Black Hawk,Casey's,0.002393581,0.000323668
2012-01,,Black Hawk,City,0.015152829,0.005398853
2012-01,,Black Hawk,Fareway,0.020737936,0.003764039
2012-01,,Black Hawk,Five,0.021331086,0.004458213
2012-01,,Black Hawk,Hillstreet,0.079060322,0.019656319
2012-01,,Black Hawk,Hometown,0.013278298,0.001149522
2012-01,,Black Hawk,Hy-Vee,0.303099388,0.065260552
2012-01,,Black Hawk,Kroegers,0.006528252,0.001819381
2012-01,,Black Hawk,Kum,0.005281353,0.00086673
