month_year,County,vendor_name,Sale (Dollars)
2012-01,Adair,diageoamericas,4733.660000000002
2012-01,Adams,diageoamericas,1819.07
2012-01,Allamakee,diageoamericas,8132.789999999996
2012-01,Appanoose,diageoamericas,5498.449999999997
2012-01,Audubon,diageoamericas,2522.49
2012-01,Benton,diageoamericas,8181.999999999998
2012-01,Black Hawk,diageoamericas,199804.07000000027
2012-01,Boone,diageoamericas,27655.610000000008
2012-01,Bremer,diageoamericas,36773.26999999998
2012-01,Buchanan,diageoamericas,14649.389999999985
2012-01,Buena Vista,diageoamericas,11622.409999999993
2012-01,Butler,diageoamericas,3127.7900000000004
2012-01,Calhoun,diageoamericas,4873.040000000001
2012-01,Carroll,diageoamericas,27284.33000000001
2012-01,Cass,diageoamericas,14327.95999999998
2012-01,Cedar,diageoamericas,4338.409999999998
2012-01,Cerro Gordo,diageoamericas,62383.44000000004
2012-01,Cherokee,diageoamericas,10849.949999999993
2012-01,Chickasaw,diageoamericas,5354.3600000000015
2012-01,Clarke,diageoamericas,7591.079999999999
2012-01,Clay,diageoamericas,15169.009999999984
2012-01,Clayton,diageoamericas,7745.669999999997
2012-01,Clinton,diageoamericas,59617.01000000004
2012-01,Crawford,diageoamericas,16320.729999999989
2012-01,Dallas,diageoamericas,66128.59000000003
2012-01,Davis,diageoamericas,1612.65
2012-01,Decatur,diageoamericas,1967.3400000000004
2012-01,Delaware,diageoamericas,15591.46
2012-01,Des Moines,diageoamericas,49362.63000000002
2012-01,Dickinson,diageoamericas,70728.40000000004
2012-01,Dubuque,diageoamericas,152163.99000000014
2012-01,Emmet,diageoamericas,8433.63
2012-01,Fayette,diageoamericas,16531.849999999995
2012-01,Floyd,diageoamericas,15641.53999999999
2012-01,Franklin,diageoamericas,8352.039999999997
2012-01,Fremont,diageoamericas,190.94
2012-01,Greene,diageoamericas,4717.169999999998
2012-01,Grundy,diageoamericas,6192.9400000000005
2012-01,Guthrie,diageoamericas,3278.2999999999997
2012-01,Hamilton,diageoamericas,8980.619999999995
2012-01,Hancock,diageoamericas,3246.880000000001
2012-01,Hardin,diageoamericas,19998.56999999999
2012-01,Harrison,diageoamericas,7379.599999999994
2012-01,Henry,diageoamericas,10536.269999999997
2012-01,Howard,diageoamericas,5951.109999999998
2012-01,Humboldt,diageoamericas,21070.75
2012-01,Ida,diageoamericas,7669.319999999997
2012-01,Iowa,diageoamericas,19668.40999999998
2012-01,Jackson,diageoamericas,18316.079999999987
2012-01,Jasper,diageoamericas,20563.289999999975
2012-01,Jefferson,diageoamericas,8789.149999999998
2012-01,Johnson,diageoamericas,208961.39000000127
2012-01,Jones,diageoamericas,26452.160000000014
2012-01,Keokuk,diageoamericas,1662.08
2012-01,Kossuth,diageoamericas,31244.149999999987
2012-01,Lee,diageoamericas,40944.68999999996
2012-01,Linn,diageoamericas,268582.87000000075
2012-01,Louisa,diageoamericas,3798.0799999999995
2012-01,Lucas,diageoamericas,2045.4000000000003
2012-01,Lyon,diageoamericas,11212.469999999996
2012-01,Madison,diageoamericas,7272.53
2012-01,Mahaska,diageoamericas,10754.709999999992
2012-01,Marion,diageoamericas,23218.65000000001
2012-01,Marshall,diageoamericas,32194.619999999995
2012-01,Mills,diageoamericas,4059.3900000000012
2012-01,Mitchell,diageoamericas,5478.1799999999985
2012-01,Monona,diageoamericas,8663.22999999999
2012-01,Monroe,diageoamericas,4652.209999999999
2012-01,Montgomery,diageoamericas,7192.3399999999965
2012-01,Muscatine,diageoamericas,34344.97000000002
2012-01,O'Brien,diageoamericas,30058.400000000016
2012-01,Osceola,diageoamericas,2734.7099999999996
2012-01,Page,diageoamericas,20071.659999999996
2012-01,Palo Alto,diageoamericas,6206.989999999995
2012-01,Plymouth,diageoamericas,22418.339999999997
2012-01,Pocahontas,diageoamericas,3377.4200000000005
2012-01,Polk,diageoamericas,589601.2999999957
2012-01,Pottawattamie,diageoamericas,132570.30000000016
2012-01,Poweshiek,diageoamericas,17488.440000000002
2012-01,Ringgold,diageoamericas,819.9499999999999
2012-01,Sac,diageoamericas,7056.84
2012-01,Scott,diageoamericas,289095.8200000005
2012-01,Shelby,diageoamericas,9461.47
2012-01,Sioux,diageoamericas,15630.089999999986
2012-01,Story,diageoamericas,114925.6500000004
2012-01,Tama,diageoamericas,6785.619999999999
2012-01,Taylor,diageoamericas,1282.21
2012-01,Union,diageoamericas,12408.139999999994
2012-01,Unknown,diageoamericas,3284.2999999999997
2012-01,Van Buren,diageoamericas,6509.2400000000025
2012-01,Wapello,diageoamericas,31821.03000000001
2012-01,Warren,diageoamericas,30045.479999999996
2012-01,Washington,diageoamericas,18273.379999999997
2012-01,Wayne,diageoamericas,2938.53
2012-01,Webster,diageoamericas,34079.67
2012-01,Winnebago,diageoamericas,9155.259999999997
2012-01,Winneshiek,diageoamericas,13546.36999999998
2012-01,Woodbury,diageoamericas,99558.90000000018
2012-01,Worth,diageoamericas,2385.9
2012-01,Wright,diageoamericas,9036.359999999997
2012-02,Adair,diageoamericas,5279.869999999998
2012-02,Adams,diageoamericas,1442.01
2012-02,Allamakee,diageoamericas,8814.919999999995
2012-02,Appanoose,diageoamericas,6464.529999999994
2012-02,Audubon,diageoamericas,1880.8700000000003
2012-02,Benton,diageoamericas,7547.609999999994
2012-02,Black Hawk,diageoamericas,231618.03000000096
2012-02,Boone,diageoamericas,15729.05999999998
2012-02,Bremer,diageoamericas,16267.189999999982
2012-02,Buchanan,diageoamericas,24969.05000000001
2012-02,Buena Vista,diageoamericas,26450.079999999976
2012-02,Butler,diageoamericas,2790.6800000000007
2012-02,Calhoun,diageoamericas,4721.17
2012-02,Carroll,diageoamericas,22575.709999999985
2012-02,Cass,diageoamericas,16922.71999999999
2012-02,Cedar,diageoamericas,4722.03
2012-02,Cerro Gordo,diageoamericas,63883.31000000001
2012-02,Cherokee,diageoamericas,11780.059999999987
2012-02,Chickasaw,diageoamericas,3251.240000000001
2012-02,Clarke,diageoamericas,7446.519999999999
2012-02,Clay,diageoamericas,17797.189999999988
2012-02,Clayton,diageoamericas,6495.859999999996
2012-02,Clinton,diageoamericas,46402.589999999975
2012-02,Crawford,diageoamericas,25143.19999999999
2012-02,Dallas,diageoamericas,82374.43000000005
2012-02,Davis,diageoamericas,1403.4
2012-02,Decatur,diageoamericas,2538.2000000000003
2012-02,Delaware,diageoamericas,11444.059999999998
2012-02,Des Moines,diageoamericas,42627.98
2012-02,Dickinson,diageoamericas,36190.61
2012-02,Dubuque,diageoamericas,117601.86000000019
2012-02,Emmet,diageoamericas,6830.069999999999
2012-02,Fayette,diageoamericas,11051.659999999993
2012-02,Floyd,diageoamericas,12826.369999999992
2012-02,Franklin,diageoamericas,7285.229999999993
2012-02,Fremont,diageoamericas,215.51999999999998
2012-02,Greene,diageoamericas,3612.32
2012-02,Grundy,diageoamericas,4619.5700000000015
2012-02,Guthrie,diageoamericas,3562.6300000000006
2012-02,Hamilton,diageoamericas,7671.039999999993
2012-02,Hancock,diageoamericas,2994.2800000000007
2012-02,Hardin,diageoamericas,21460.959999999985
2012-02,Harrison,diageoamericas,9747.859999999991
2012-02,Henry,diageoamericas,13662.889999999994
2012-02,Howard,diageoamericas,24335.99
2012-02,Humboldt,diageoamericas,5293.63
2012-02,Ida,diageoamericas,8642.529999999999
2012-02,Iowa,diageoamericas,24927.129999999976
2012-02,Jackson,diageoamericas,14967.14999999998
2012-02,Jasper,diageoamericas,27951.729999999985
2012-02,Jefferson,diageoamericas,12150.15
2012-02,Johnson,diageoamericas,215120.68000000095
2012-02,Jones,diageoamericas,12212.939999999986
2012-02,Keokuk,diageoamericas,1808.8200000000006
2012-02,Kossuth,diageoamericas,21252.829999999998
2012-02,Lee,diageoamericas,63077.900000000016
2012-02,Linn,diageoamericas,343016.60000000155
